Starting with distance:  3
Starting with error rate:  0.2
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 4, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.7205
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 4, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.3322
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 4, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 3.5239
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 5, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.9941
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 5, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 1.0026
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 3.2333
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 3.1379
Distance: 5, Error Rate: 0.3, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 3.1379
Best Accuracy:  0.9589887640449438 Best Hyperparameters {'distance': 5, 'error_rate': 0.3, 'hidden_size': 32, 'num_layers': 3, 'lr': 0.01, 'weight_decay': 0.0005}
Starting with error rate:  0.4
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 3, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.1272
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 3, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.3321
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.3824
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.4293
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 4, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.4519
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 4, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.7057
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 4, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.5095
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 4, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.4842
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 5, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 1.1025
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 5, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 1.0951
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 5, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.4302
Distance: 5, Error Rate: 0.4, Hidden Size: 32, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.1601
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 3, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.1720
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 3, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.4435
Distance: 5, Error Rate: 0.4, Hidden Size: 64, Num Layers: 3, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 3.0360
